place_id,best_source,best_name,best_phone,best_website,best_address,best_category,name_source,phone_source,website_source,address_source,category_source
08f088557537354903c275dd5a290659,meta,Scandic CH,6264958400,http://www.scandichotels.com/ch,nygatan 45 g vle 803 11 se,resort,meta,meta,meta,meta,microsoft_structured
08f08996aa19640503998575bf5e624f,meta,Työväen Akatemia,8401763581,http://www.akatemia.org/,vanha turuntie 14 kauniainen 02700 fi,community and government education primary and secondary school high school,meta,meta,meta,meta,foursquare_structured
08f08ed358889889037e291e52eb62a5,meta,Full Steam,4792044930,http://www.fullsteam.no/,s ndre tollbodgate 3 troms 54 9008 no,restaurant,foursquare_structured,meta,meta,meta,meta
08f08f02c0755b89034609eac48d4092,meta,Mecra Consult,6910720720,http://www.mecra.se/,verkstadsv 13 skellefte v sterbottens l n 931 61 se,pest control service,foursquare_structured,meta,meta,foursquare_structured,meta
08f1126d332248ed03373d1c4f03052a,meta,Hautaustoimisto Mikko Mononen,8968626200,https://hautaus-mononen.fi/,liisankatu 25 helsinki uusimaa 00170 fi,business and professional services funeral home,meta,meta,meta,foursquare_structured,foursquare_structured
08f1126d338cb585032ef99b66edb965,meta,EuroPark,8207907300,http://www.europark.fi/english/parking-halls/hki-eliel-eng,asema aukio 1 helsinki 00100 fi,parking,microsoft_structured,meta,meta,meta,meta
08f11aa78c7ad0e5034e75b4b7abd882,meta,Коллегия адвокатов г. Москвы «ЭксЛедж»,4993942724,https://goo.gl/3Y9yAj,2 115172 ru,business and professional services legal service law office,meta,meta,meta,meta,foursquare_structured
08f11aa7a1a188c003ef4bcf54a8e1a6,meta,Детская городская клиническая больница 9 имени Сперанского Г.Н.,4991868325,http://www.dgkb-9.ru/,29 7 123317 ru,health and medicine hospital,meta,meta,meta,meta,foursquare_structured
08f121ba1a6ed7b103673c4bbcf8bf73,microsoft,Bannister GP Kia,7805395024,http://www.bannistergpkia.ca/,11806 99 ave grande prairie ab t8w 0c7 ca,auto parts and supply store,microsoft,microsoft,microsoft,microsoft,microsoft
08f12ccd550310a30379d144bdd1f4aa,meta,Alberta Gymnastics Federation,4032595500,http://www.abgym.ab.ca/,550 71 ave se calgary ab t2h 0s6 ca,community services non profits,meta,meta,meta,meta,meta
