names,categories,confidence,websites,socials,phones,addresses,omf_name,omf_category,omf_confidence,omf_websites,omf_socials,omf_phones,omf_addresses,clean_omf_name,clean_omf_addresses
"{""primary"":""Goin' Postal Jacksonville""}","{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}",0.9962614185921548,"[""http://www.goinpostaljacksonville.com/""]","[""https://www.facebook.com/463273470392736""]","[""+19049989600""]","[{""freeform"":""7643 Gate Pkwy"",""locality"":""Jacksonville"",""postcode"":""32256-2892"",""region"":""FL"",""country"":""US""}]",Goin' Postal Jacksonville,shipping_center,0.9962614185921548,http://www.goinpostaljacksonville.com/,https://www.facebook.com/463273470392736,+19049989600,"7643 Gate Pkwy,Jacksonville,FL,32256-2892",goin postal jacksonville,7643 gate pkwyjacksonvillefl322562892
"{""primary"":""Valley Transmission""}","{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}",0.9962614185921548,"[""http://valleytransca.com/""]","[""https://www.facebook.com/107150256087765""]","[""+16194474353""]","[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""postcode"":""92021-5023"",""region"":""CA"",""country"":""US""}]",Valley Transmission,automotive_repair,0.9962614185921548,http://valleytransca.com/,https://www.facebook.com/107150256087765,+16194474353,"1158 N 2nd St,El Cajon,CA,92021-5023",valley transmission,1158 n 2nd stel cajonca920215023
"{""primary"":""Mazda Nelspruit""}","{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}",0.997898979043525,"[""http://bit.ly/NelspruitMazda""]","[""https://www.facebook.com/113070635372645""]","[""+27137573800""]","[{""freeform"":""Mazda Nelspruit, 49 Emnotweni Avenue"",""locality"":""Riverside Park"",""postcode"":""1201"",""region"":""MP"",""country"":""ZA""}]",Mazda Nelspruit,car_dealer,0.997898979043525,http://bit.ly/NelspruitMazda,https://www.facebook.com/113070635372645,+27137573800,"Mazda Nelspruit, 49 Emnotweni Avenue,Riverside Park,MP,1201",mazda nelspruit,mazda nelspruit 49 emnotweni avenueriverside parkmp1201
"{""primary"":""Red Wing - Roswell, GA""}","{""primary"":""shoe_store"",""alternate"":[""online_shop"",""retail""]}",0.77,"[""https://stores.redwingshoes.com/roswell-ga""]",,"[""7705584400""]","[{""freeform"":""875 Mansell Rd B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]","Red Wing - Roswell, GA",shoe_store,0.77,https://stores.redwingshoes.com/roswell-ga,,7705584400,"875 Mansell Rd B1,Roswell,GA,30076",red wing  roswell ga,875 mansell rd b1roswellga30076
"{""primary"":""Norauto España""}","{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_parts_and_accessories""]}",0.9962614185921548,"[""https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9""]","[""https://www.facebook.com/295967644448975""]","[""+34966803254""]","[{""freeform"":""Carrer del Rei Jaume I, 9"",""locality"":""Finestrat"",""postcode"":""03509"",""country"":""ES""}]",Norauto España,automotive_repair,0.9962614185921548,https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9,https://www.facebook.com/295967644448975,+34966803254,"Carrer del Rei Jaume I, 9,Finestrat,,03509",norauto espaa,carrer del rei jaume i 9finestrat03509
"{""primary"":""Newport Institute""}","{""primary"":""doctor"",""alternate"":[""health_and_medical""]}",0.77,"[""http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek""]",,"[""8445450602""]","[{""freeform"":""43821 Shady Crk"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]",Newport Institute,doctor,0.77,http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek,,8445450602,"43821 Shady Crk,Temecula,CA,92590",newport institute,43821 shady crktemeculaca92590
"{""primary"":""Comfort Inn Alexandria West - Landmark""}","{""primary"":""hotel""}",0.77,"[""https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116""]",,"[""7036423422""]","[{""freeform"":""6254 Duke St"",""locality"":""Alexandria"",""postcode"":""22312"",""region"":""VA"",""country"":""US""}]",Comfort Inn Alexandria West - Landmark,hotel,0.77,https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116,,7036423422,"6254 Duke St,Alexandria,VA,22312",comfort inn alexandria west  landmark,6254 duke stalexandriava22312
"{""primary"":""SushiCo""}","{""primary"":""sushi_restaurant"",""alternate"":[""japanese_restaurant"",""bubble_tea""]}",0.9962614185921548,"[""http://www.sushico.nl/""]","[""https://www.facebook.com/110185694447961""]","[""+31318255062""]","[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""postcode"":""6711 AN"",""country"":""NL""}]",SushiCo,sushi_restaurant,0.9962614185921548,http://www.sushico.nl/,https://www.facebook.com/110185694447961,+31318255062,"Torenstraat 16,Ede,,6711 AN",sushico,torenstraat 16ede6711 an
"{""primary"":""NextCare Urgent Care Gastonia""}","{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}",0.77,"[""https://nextcare.com/locations/nc/gastonia/""]",,"[""7042154057""]","[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]",NextCare Urgent Care Gastonia,doctor,0.77,https://nextcare.com/locations/nc/gastonia/,,7042154057,"3680 Robinwood Rd,Gastonia,NC,28054",nextcare urgent care gastonia,3680 robinwood rdgastonianc28054
"{""primary"":""BP""}","{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}",0.9872500778573653,"[""https://www.bp.com/es_es/spain/home.html""]","[""https://www.facebook.com/2023469851040046""]","[""+34966400784""]","[{""freeform"":""Avenida de Oliva"",""locality"":""Alicante"",""postcode"":""03780"",""country"":""ES""}]",BP,gas_station,0.9872500778573653,https://www.bp.com/es_es/spain/home.html,https://www.facebook.com/2023469851040046,+34966400784,"Avenida de Oliva,Alicante,,03780",bp,avenida de olivaalicante03780
"{""primary"":""Pettigrew and Associates""}","{""primary"":""engineering_services"",""alternate"":[""land_surveying"",""commercial_industrial""]}",0.9918379237288135,"[""http://www.pettigrew.us/""]","[""https://www.facebook.com/117203175006974""]","[""+15753939827""]","[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""postcode"":""88240-9309"",""region"":""NM"",""country"":""US""}]",Pettigrew and Associates,engineering_services,0.9918379237288135,http://www.pettigrew.us/,https://www.facebook.com/117203175006974,+15753939827,"100 E Navajo Dr,Hobbs,NM,88240-9309",pettigrew and associates,100 e navajo drhobbsnm882409309
"{""primary"":""Jeremiah's Italian Ice""}","{""primary"":""ice_cream_shop"",""alternate"":[""bakery"",""diner""]}",0.9962614185921548,"[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]","[""https://www.facebook.com/111067831985657""]","[""+12057470443""]","[{""freeform"":""790 Montgomery Hwy"",""locality"":""Vestavia Hills"",""postcode"":""35216-1872"",""region"":""AL"",""country"":""US""}]",Jeremiah's Italian Ice,ice_cream_shop,0.9962614185921548,https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.facebook.com/111067831985657,+12057470443,"790 Montgomery Hwy,Vestavia Hills,AL,35216-1872",jeremiahs italian ice,790 montgomery hwyvestavia hillsal352161872
"{""primary"":""Murphy USA""}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}",0.77,"[""http://www.murphyusa.com/""]",,"[""8033560950""]","[{""freeform"":""4448 Sunset Blvd"",""locality"":""Lexington"",""region"":""SC"",""country"":""US"",""postcode"":""29072""}]",Murphy USA,convenience_store,0.77,http://www.murphyusa.com/,,8033560950,"4448 Sunset Blvd,Lexington,SC,29072",murphy usa,4448 sunset blvdlexingtonsc29072
"{""primary"":""Certa Opportune Inc.""}","{""primary"":""sign_making"",""alternate"":[""graphic_designer"",""screen_printing_t_shirt_printing""]}",0.9696941176470588,"[""http://www.certaopportune.ca/""]","[""https://www.facebook.com/437045240458850""]","[""+14375517377""]","[{""freeform"":""2556 Central Ave Unit B"",""postcode"":""N8W 4J5"",""country"":""CA""}]",Certa Opportune Inc.,sign_making,0.9696941176470588,http://www.certaopportune.ca/,https://www.facebook.com/437045240458850,+14375517377,"2556 Central Ave Unit B,,,N8W 4J5",certa opportune inc,2556 central ave unit bn8w 4j5
"{""primary"":""DTLR""}","{""primary"":""shoe_store"",""alternate"":[""clothing_store"",""retail""]}",0.77,"[""https://locations.dtlr.com/va/richmond/southside-plaza.html""]",,"[""8042327880""]","[{""freeform"":""4640 N Southside Plaza St"",""locality"":""Richmond"",""region"":""VA"",""country"":""US"",""postcode"":""23224""}]",DTLR,shoe_store,0.77,https://locations.dtlr.com/va/richmond/southside-plaza.html,,8042327880,"4640 N Southside Plaza St,Richmond,VA,23224",dtlr,4640 n southside plaza strichmondva23224
"{""primary"":""Burger King""}","{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""restaurant""]}",0.9962614185921548,"[""https://burgerking.com/store-locator/store/restaurant_5319""]","[""https://www.facebook.com/369034676623921""]","[""+15418853166""]","[{""freeform"":""2561 Campus Dr"",""locality"":""Klamath Falls"",""postcode"":""97601-1102"",""region"":""OR"",""country"":""US""}]",Burger King,fast_food_restaurant,0.9962614185921548,https://burgerking.com/store-locator/store/restaurant_5319,https://www.facebook.com/369034676623921,+15418853166,"2561 Campus Dr,Klamath Falls,OR,97601-1102",burger king,2561 campus drklamath fallsor976011102
"{""primary"":""bellaiuto coiffure""}","{""primary"":""hair_stylist"",""alternate"":[""hair_salon"",""beauty_and_spa""]}",0.8606545961002786,"[""http://www.bellaiuto.ch/""]",,"[""0448200169""]","[{""freeform"":""Wangenstrasse 5"",""locality"":""Dübendorf"",""postcode"":""8600"",""region"":""Zurich"",""country"":""CH""}]",bellaiuto coiffure,hair_stylist,0.8606545961002786,http://www.bellaiuto.ch/,,0448200169,"Wangenstrasse 5,Dübendorf,Zurich,8600",bellaiuto coiffure,wangenstrasse 5dbendorfzurich8600
"{""primary"":""LuLu's Bar & Resto""}","{""primary"":""bar_and_grill_restaurant"",""alternate"":[""restaurant"",""diner""]}",0.9792361111111111,"[""http://luluspcb.com""]","[""https://www.facebook.com/106821481775458""]","[""+18502004040""]","[{""freeform"":""9902 S Thomas Dr"",""locality"":""Panama City Beach"",""postcode"":""32408-1201"",""region"":""FL"",""country"":""US""}]",LuLu's Bar & Resto,bar_and_grill_restaurant,0.9792361111111111,http://luluspcb.com,https://www.facebook.com/106821481775458,+18502004040,"9902 S Thomas Dr,Panama City Beach,FL,32408-1201",lulus bar  resto,9902 s thomas drpanama city beachfl324081201
"{""primary"":""Fastest Labs Pittsburgh""}","{""primary"":""laboratory_testing"",""alternate"":[""clinical_laboratories"",""scientific_laboratories"",""b2b_medical_support_services"",""laboratory"",""health_and_medical"",""business_to_business""]}",0.77,"[""https://www.fastestlabs.com/pittsburgh/""]",,"[""4124670907""]","[{""freeform"":""100 Fleet St"",""locality"":""Pittsburgh"",""region"":""PA"",""country"":""US"",""postcode"":""15220""}]",Fastest Labs Pittsburgh,laboratory_testing,0.77,https://www.fastestlabs.com/pittsburgh/,,4124670907,"100 Fleet St,Pittsburgh,PA,15220",fastest labs pittsburgh,100 fleet stpittsburghpa15220
"{""primary"":""Jill R. Johnson, APRN, CNP""}","{""primary"":""nurse_practitioner"",""alternate"":[""health_and_medical""]}",0.77,"[""""]",,"[""9182271000""]","[{""freeform"":""1021 E Bryan Ave"",""locality"":""Sapulpa"",""postcode"":""74066"",""region"":""OK"",""country"":""US""}]","Jill R. Johnson, APRN, CNP",nurse_practitioner,0.77,,,9182271000,"1021 E Bryan Ave,Sapulpa,OK,74066",jill r johnson aprn cnp,1021 e bryan avesapulpaok74066
"{""primary"":""Audio Network""}","{""primary"":""music_production_services""}",0.77,"[""https://www.audionetwork.com/""]",,"[""02075661441""]","[{""freeform"":""Audio Network (3Rd Floor), The Johnson Building, 77 Hatton Garden"",""locality"":""London"",""region"":"""",""country"":""GB"",""postcode"":""EC1N 8JS""}]",Audio Network,music_production_services,0.77,https://www.audionetwork.com/,,02075661441,"Audio Network (3Rd Floor), The Johnson Building, 77 Hatton Garden,London,,EC1N 8JS",audio network,audio network 3rd floor the johnson building 77 hatton gardenlondonec1n 8js
"{""primary"":""Orangetheory Fitness""}","{""primary"":""gym"",""alternate"":[""active_life"",""health_and_medical""]}",0.997898979043525,"[""https://east-memphis.orangetheoryfitness.com/""]","[""https://www.facebook.com/1566769126936363""]","[""+19014215785""]","[{""freeform"":""4615 Poplar Ave"",""locality"":""Memphis"",""postcode"":""38117-4400"",""region"":""TN"",""country"":""US""}]",Orangetheory Fitness,gym,0.997898979043525,https://east-memphis.orangetheoryfitness.com/,https://www.facebook.com/1566769126936363,+19014215785,"4615 Poplar Ave,Memphis,TN,38117-4400",orangetheory fitness,4615 poplar avememphistn381174400
"{""primary"":""Fitness Together""}","{""primary"":""gym"",""alternate"":[""active_life""]}",0.77,"[""http://www.fitnesstogether.com/jenks-riverside""]",,"[""9183920540""]","[{""freeform"":""9708 Riverside Pkwy Ste D"",""locality"":""Tulsa"",""region"":""OK"",""country"":""US"",""postcode"":""74137""}]",Fitness Together,gym,0.77,http://www.fitnesstogether.com/jenks-riverside,,9183920540,"9708 Riverside Pkwy Ste D,Tulsa,OK,74137",fitness together,9708 riverside pkwy ste dtulsaok74137
"{""primary"":""REI""}","{""primary"":""outdoor_gear"",""alternate"":[""sporting_goods""]}",0.9962614185921548,"[""https://www.rei.com/stores/paramus?y_source=1_MTQ1MzQxNC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]","[""https://www.facebook.com/1639987059576614""]","[""+12012261560""]","[{""freeform"":""2200 Bergen Town Ctr"",""locality"":""Paramus"",""postcode"":""07652"",""region"":""NJ"",""country"":""US""}]",REI,outdoor_gear,0.9962614185921548,https://www.rei.com/stores/paramus?y_source=1_MTQ1MzQxNC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.facebook.com/1639987059576614,+12012261560,"2200 Bergen Town Ctr,Paramus,NJ,07652",rei,2200 bergen town ctrparamusnj07652
"{""primary"":""Chipotle Mexican Grill""}","{""primary"":""mexican_restaurant"",""alternate"":[""eat_and_drink""]}",0.9962614185921548,"[""https://locations.chipotle.com/nv/north-las-vegas/6780-n-5th-st?utm_source=extendednetwork&utm_medium=yext&utm_campaign=yext_listings""]","[""https://www.facebook.com/214538125086445""]","[""+17253030086""]","[{""freeform"":""6780 N 5th St"",""locality"":""North Las Vegas"",""postcode"":""89084"",""region"":""NV"",""country"":""US""}]",Chipotle Mexican Grill,mexican_restaurant,0.9962614185921548,https://locations.chipotle.com/nv/north-las-vegas/6780-n-5th-st?utm_source=extendednetwork&utm_medium=yext&utm_campaign=yext_listings,https://www.facebook.com/214538125086445,+17253030086,"6780 N 5th St,North Las Vegas,NV,89084",chipotle mexican grill,6780 n 5th stnorth las vegasnv89084
"{""primary"":""Garage""}","{""primary"":""designer_clothing"",""alternate"":[""clothing_store"",""retail""]}",0.77,"[""https://www.garageclothing.com/ca/stores""]",,"[""9056311104""]","[{""freeform"":""900 Maple Ave, #B29"",""locality"":""Burlington"",""region"":""ON"",""country"":""CA"",""postcode"":""L7S 2J8""}]",Garage,designer_clothing,0.77,https://www.garageclothing.com/ca/stores,,9056311104,"900 Maple Ave, #B29,Burlington,ON,L7S 2J8",garage,900 maple ave b29burlingtononl7s 2j8
"{""primary"":""Charlottesville Voter Registration""}","{""primary"":""public_service_and_government"",""alternate"":[""public_and_government_association"",""central_government_office""]}",0.9872500778573653,"[""http://www.charlottesville.gov/vote""]","[""https://www.facebook.com/1654641278168104""]","[""+14349703250""]","[{""freeform"":""120 7th St NE"",""locality"":""Charlottesville"",""postcode"":""22902-5392"",""region"":""VA"",""country"":""US""}]",Charlottesville Voter Registration,public_service_and_government,0.9872500778573653,http://www.charlottesville.gov/vote,https://www.facebook.com/1654641278168104,+14349703250,"120 7th St NE,Charlottesville,VA,22902-5392",charlottesville voter registration,120 7th st necharlottesvilleva229025392
"{""primary"":""Waynesboro Chrysler Dodge Jeep Ram""}","{""primary"":""car_dealer"",""alternate"":[""automotive_dealer"",""automotive_repair""]}",0.997898979043525,"[""http://www.waynesborocdjr.com/""]","[""https://www.facebook.com/178499402801399""]","[""+17063609400""]","[{""freeform"":""480 US Highway 25 N"",""locality"":""Waynesboro"",""postcode"":""30830-2738"",""region"":""GA"",""country"":""US""}]",Waynesboro Chrysler Dodge Jeep Ram,car_dealer,0.997898979043525,http://www.waynesborocdjr.com/,https://www.facebook.com/178499402801399,+17063609400,"480 US Highway 25 N,Waynesboro,GA,30830-2738",waynesboro chrysler dodge jeep ram,480 us highway 25 nwaynesboroga308302738
"{""primary"":""Viviane M Santos CNP""}","{""primary"":""health_consultant"",""alternate"":[""doctor"",""active_life""]}",0.77,"[""https://www.osfhealthcare.org/physicians/profile/3318/viviane-m-santos-cnp/""]",,"[""3096835700""]","[{""freeform"":""5111 N Glen Park Place Rd"",""locality"":""Peoria"",""postcode"":""61614"",""region"":""IL"",""country"":""US""}]",Viviane M Santos CNP,health_consultant,0.77,https://www.osfhealthcare.org/physicians/profile/3318/viviane-m-santos-cnp/,,3096835700,"5111 N Glen Park Place Rd,Peoria,IL,61614",viviane m santos cnp,5111 n glen park place rdpeoriail61614
"{""primary"":""Aral""}","{""primary"":""gas_station"",""alternate"":[""automotive"",""travel""]}",0.9918379237288135,"[""http://www.aral.de/""]","[""https://www.facebook.com/214555258574811""]","[""+493455126523""]","[{""freeform"":""Volkmannstraße 19"",""locality"":""Halle (Saale)"",""postcode"":""06112"",""country"":""DE""}]",Aral,gas_station,0.9918379237288135,http://www.aral.de/,https://www.facebook.com/214555258574811,+493455126523,"Volkmannstraße 19,Halle (Saale),,06112",aral,volkmannstrae 19halle saale06112
"{""primary"":""Heartland Mortgage Inc - Bobbie Jo Haggard""}","{""primary"":""mortgage_lender"",""alternate"":[""mortgage_broker""]}",0.77,"[""http://www.wallawallamortgage.com/""]",,"[""5093011661""]","[{""freeform"":""30 S Palouse St"",""locality"":""Walla Walla"",""region"":""WA"",""country"":""US"",""postcode"":""99362""}]",Heartland Mortgage Inc - Bobbie Jo Haggard,mortgage_lender,0.77,http://www.wallawallamortgage.com/,,5093011661,"30 S Palouse St,Walla Walla,WA,99362",heartland mortgage inc  bobbie jo haggard,30 s palouse stwalla wallawa99362
"{""primary"":""Terminix""}","{""primary"":""pest_control_service""}",0.77,"[""https://www.terminix.com/exterminators/ga/bainbridge-2615/""]",,"[""2296718791""]","[{""freeform"":""334 S Collier St"",""locality"":""Bainbridge"",""postcode"":""39819"",""region"":""GA"",""country"":""US""}]",Terminix,pest_control_service,0.77,https://www.terminix.com/exterminators/ga/bainbridge-2615/,,2296718791,"334 S Collier St,Bainbridge,GA,39819",terminix,334 s collier stbainbridgega39819
"{""primary"":""Kupferstecher Frankfurt""}","{""primary"":""restaurant"",""alternate"":[""german_restaurant"",""burger_restaurant""]}",0.9962614185921548,"[""https://kupferstecher-frankfurt.de/""]","[""https://www.facebook.com/259942624918629""]","[""+496926495455""]","[{""freeform"":""Merianplatz 3"",""locality"":""Frankfurt am Main"",""postcode"":""60316"",""country"":""DE""}]",Kupferstecher Frankfurt,restaurant,0.9962614185921548,https://kupferstecher-frankfurt.de/,https://www.facebook.com/259942624918629,+496926495455,"Merianplatz 3,Frankfurt am Main,,60316",kupferstecher frankfurt,merianplatz 3frankfurt am main60316
"{""primary"":""Women's Health Boutique""}","{""primary"":""medical_supply"",""alternate"":[""wig_store"",""orthotics"",""health_and_medical"",""retail""]}",0.77,"[""http://www.mywhb.com/""]",,"[""9729854477""]","[{""freeform"":""3115 W Parker Rd Ste 270"",""locality"":""Plano"",""region"":""TX"",""country"":""US"",""postcode"":""75023""}]",Women's Health Boutique,medical_supply,0.77,http://www.mywhb.com/,,9729854477,"3115 W Parker Rd Ste 270,Plano,TX,75023",womens health boutique,3115 w parker rd ste 270planotx75023
"{""primary"":""KC Solar""}","{""primary"":""energy_equipment_and_solution"",""alternate"":[""solar_installation"",""home_improvement_store""]}",0.9763829787234043,"[""https://kcsolar.net/""]","[""https://www.facebook.com/958329017641480""]","[""+19135797533""]","[{""freeform"":""8101 College Blvd"",""locality"":""Overland Park"",""postcode"":""66210-1978"",""region"":""KS"",""country"":""US""}]",KC Solar,energy_equipment_and_solution,0.9763829787234043,https://kcsolar.net/,https://www.facebook.com/958329017641480,+19135797533,"8101 College Blvd,Overland Park,KS,66210-1978",kc solar,8101 college blvdoverland parkks662101978
"{""primary"":""Commerce Bank ATM""}","{""primary"":""atms""}",0.77,"[""https://locations.commercebank.com/mo/st-charles/atm-1020-s-5th-st.html""]",,"[""8556591656""]","[{""freeform"":""1020 S 5th St"",""locality"":""Saint Charles"",""region"":""MO"",""country"":""US"",""postcode"":""63301""}]",Commerce Bank ATM,atms,0.77,https://locations.commercebank.com/mo/st-charles/atm-1020-s-5th-st.html,,8556591656,"1020 S 5th St,Saint Charles,MO,63301",commerce bank atm,1020 s 5th stsaint charlesmo63301
"{""primary"":""Mr. Roof Louisville""}","{""primary"":""roofing"",""alternate"":[""contractor"",""home_improvement_store""]}",0.9877528662420382,"[""https://www.mrroof.com/louisville/""]","[""https://www.facebook.com/684279538295009""]","[""+15026532417""]","[{""freeform"":""3600 Chamberlain Ln"",""locality"":""Louisville"",""postcode"":""40241-1914"",""region"":""KY"",""country"":""US""}]",Mr. Roof Louisville,roofing,0.9877528662420382,https://www.mrroof.com/louisville/,https://www.facebook.com/684279538295009,+15026532417,"3600 Chamberlain Ln,Louisville,KY,40241-1914",mr roof louisville,3600 chamberlain lnlouisvilleky402411914
"{""primary"":""Campbell Veterinary Hospital""}","{""primary"":""veterinarian"",""alternate"":[""hospital"",""social_service_organizations""]}",0.9962614185921548,"[""https://campbellveterinaryhospital.com/""]","[""https://www.facebook.com/104313694938335""]","[""+17622212202""]","[{""freeform"":""106 Walmart Dr"",""locality"":""Eatonton"",""postcode"":""31024-6762"",""region"":""GA"",""country"":""US""}]",Campbell Veterinary Hospital,veterinarian,0.9962614185921548,https://campbellveterinaryhospital.com/,https://www.facebook.com/104313694938335,+17622212202,"106 Walmart Dr,Eatonton,GA,31024-6762",campbell veterinary hospital,106 walmart dreatontonga310246762
"{""primary"":""Local Locker Storage""}","{""primary"":""self_storage_facility"",""alternate"":[""storage_facility""]}",0.9918379237288135,"[""https://locations.localocker.com/bedstuy-storage-97?utm_source=Facebook&utm_medium=Yext""]","[""https://www.facebook.com/101971539434283""]","[""+19175402098""]","[{""freeform"":""1320 Fulton St"",""locality"":""Brooklyn"",""postcode"":""11216-2101"",""region"":""NY"",""country"":""US""}]",Local Locker Storage,self_storage_facility,0.9918379237288135,https://locations.localocker.com/bedstuy-storage-97?utm_source=Facebook&utm_medium=Yext,https://www.facebook.com/101971539434283,+19175402098,"1320 Fulton St,Brooklyn,NY,11216-2101",local locker storage,1320 fulton stbrooklynny112162101
"{""primary"":""Residence Malcesine""}","{""primary"":""hotel"",""alternate"":[""landmark_and_historical_building"",""holiday_rental_home""]}",0.9962614185921548,"[""http://www.residencemalcesine.it/""]","[""https://www.facebook.com/166746674998394""]","[""+390454500300""]","[{""freeform"":""Via Navene Vecchia, 135"",""locality"":""Malcesine"",""postcode"":""37018"",""region"":""34"",""country"":""IT""}]",Residence Malcesine,hotel,0.9962614185921548,http://www.residencemalcesine.it/,https://www.facebook.com/166746674998394,+390454500300,"Via Navene Vecchia, 135,Malcesine,34,37018",residence malcesine,via navene vecchia 135malcesine3437018
"{""primary"":""京都御所 Kyoto Imperial Palace""}","{""primary"":""palace"",""alternate"":[""hotel""]}",0.6214335421016005,,"[""https://www.facebook.com/109670610904898""]",,"[{""freeform"":""京都市上京区京都御苑3 (3Kyotogyoen, Kamigyo Ward, Kyoto)nn"",""locality"":""Kyoto-shi"",""region"":""26"",""country"":""JP""}]",京都御所 Kyoto Imperial Palace,palace,0.6214335421016005,,https://www.facebook.com/109670610904898,,"京都市上京区京都御苑3 (3Kyotogyoen, Kamigyo Ward, Kyoto)nn,Kyoto-shi,26,", kyoto imperial palace,3 3kyotogyoen kamigyo ward kyotonnkyotoshi26
"{""primary"":""SignWriter""}","{""primary"":""sign_making"",""alternate"":[""printing_services"",""professional_services""]}",0.9962614185921548,"[""http://www.signwriterkzoo.com/""]","[""https://www.facebook.com/1446626112272894""]","[""+12693736440""]","[{""freeform"":""633 W Michigan Ave"",""locality"":""Kalamazoo"",""postcode"":""49007-3715"",""region"":""MI"",""country"":""US""}]",SignWriter,sign_making,0.9962614185921548,http://www.signwriterkzoo.com/,https://www.facebook.com/1446626112272894,+12693736440,"633 W Michigan Ave,Kalamazoo,MI,49007-3715",signwriter,633 w michigan avekalamazoomi490073715
"{""primary"":""fnac""}","{""primary"":""health_and_medical"",""alternate"":[""hospital""]}",0.28686635944700467,"[""https://www.fnac.com/Chambery/Fnac-Chambery/cl251/w-4?utm_source=facebook""]","[""https://www.facebook.com/433345239872443""]","[""+33155215840""]","[{""freeform"":""11 Rue Doppet"",""postcode"":""73000"",""country"":""FR""}]",fnac,health_and_medical,0.28686635944700467,https://www.fnac.com/Chambery/Fnac-Chambery/cl251/w-4?utm_source=facebook,https://www.facebook.com/433345239872443,+33155215840,"11 Rue Doppet,,,73000",fnac,11 rue doppet73000
"{""primary"":""Mister Car Wash""}","{""primary"":""auto_detailing"",""alternate"":[""car_wash"",""automotive""]}",0.77,"[""https://mistercarwash.com/""]",,"[""5202931359""]","[{""freeform"":""1435 W River Rd"",""locality"":""Tucson"",""region"":""AZ"",""country"":""US"",""postcode"":""85704""}]",Mister Car Wash,auto_detailing,0.77,https://mistercarwash.com/,,5202931359,"1435 W River Rd,Tucson,AZ,85704",mister car wash,1435 w river rdtucsonaz85704
"{""primary"":""Smoothie King""}","{""primary"":""smoothie_juice_bar"",""alternate"":[""eat_and_drink""]}",0.9962614185921548,"[""https://locations.smoothieking.com/ll/us/fl/miami/12520-sw-88th-st/?utm_source=facebook&utm_medium=social&utm_content=SOCi""]","[""https://www.facebook.com/108750012523155""]","[""+13055987004""]","[{""freeform"":""12520 SW 88th St"",""locality"":""Miami"",""postcode"":""33186-1817"",""region"":""FL"",""country"":""US""}]",Smoothie King,smoothie_juice_bar,0.9962614185921548,https://locations.smoothieking.com/ll/us/fl/miami/12520-sw-88th-st/?utm_source=facebook&utm_medium=social&utm_content=SOCi,https://www.facebook.com/108750012523155,+13055987004,"12520 SW 88th St,Miami,FL,33186-1817",smoothie king,12520 sw 88th stmiamifl331861817
"{""primary"":""Viking Sewing Gallery""}","{""primary"":""sewing_and_alterations"",""alternate"":[""arts_and_crafts"",""fabric_store""]}",0.9962614185921548,"[""http://vikingsewinggallery.com/?utm_source=extnet&utm_medium=yext""]","[""https://www.facebook.com/105800052312077""]","[""+12816728093""]","[{""freeform"":""25415 Interstate 45"",""locality"":""Spring"",""postcode"":""77380-3504"",""region"":""TX"",""country"":""US""}]",Viking Sewing Gallery,sewing_and_alterations,0.9962614185921548,http://vikingsewinggallery.com/?utm_source=extnet&utm_medium=yext,https://www.facebook.com/105800052312077,+12816728093,"25415 Interstate 45,Spring,TX,77380-3504",viking sewing gallery,25415 interstate 45springtx773803504
